Paper Id,Title,Abstract,Year,Authors,Citation Count,Discipline(s),Document Type,Journal Name,Journal Volume,Journal Pages,Conference Name,Publication Type,Venue,Publication Date,Is Open Access,Open Access PDF URL,PDF Available,URL,DOI,Source,Extracted Keyword,Similarity Score,Relevance Category,Label Actual,,P@10,Pred Gain,Pred Actual,DCG,IDCG,DCG,IDCG,NDCG
30849774,Regression Convolutional Neural Network For Improved Simultaneous Emg Control,"Deep learning models can learn representations of data that extract useful information in order to perform prediction without feature engineering. In this paper, an electromyography (EMG) control scheme with a regression convolutional neural network (CNN) is proposed as a substitute of conventional regression models that use purposefully designed features.",2019,"Ameri A, Akhaee MA, Scheme E, Englehart K",34,"Adult, Electromyography, Female, Humans, Machine Learning, Male, Motion, Movement, Neural Networks, Computer, Random Allocation, Regression Analysis",Journal Article,Journal of neural engineering,16,36015,-,Journal Article,-,6/1/2019,No,FALSE,No,https://pubmed.ncbi.nlm.nih.gov/30849774,10.1088/1741-2552/ab0e2e,PubMed,N/A,0.616356687,Moderately relevant,Moderately relevant,1,TRUE,2,2,3,3,7.805418845,13.63067801,0.57263614
29068076,Emg-Based Estimation Of Limb Movement Using Deep Learning With Recurrent Convolutional Neural Networks,"A novel model based on deep learning is proposed to estimate kinematic information for myoelectric control from multi-channel electromyogram (EMG) signals. The neural information of limb movement is embedded in EMG signals that are influenced by all kinds of factors. In order to overcome the negative effects of variability in signals, the proposed model employs the deep architecture combining convolutional neural networks (CNNs) and recurrent neural networks (RNNs). The EMG signals are transformed to time-frequency frames as the input to the model. The limb movement is estimated by the model that is trained with the gradient descent and backpropagation procedure. We tested the model for simultaneous and proportional estimation of limb movement in eight healthy subjects and compared it with support vector regression (SVR) and CNNs on the same data set. The experimental studies show that the proposed model has higher estimation accuracy and better robustness with respect to time. The combination of CNNs and RNNs can improve the model performance compared with using CNNs alone. The model of deep architecture is promising in EMG decoding and optimization of network structures can increase the accuracy and robustness.",2018,"Xia P, Hu J, Peng Y",38,"Adult, Biomechanical Phenomena, Computer Simulation, Electromyography, Female, Hand, Humans, Machine Learning, Male, Models, Biological, Movement, Neural Networks, Computer, Young Adult",Journal Article,Artificial organs,42,E67-E77,-,Journal Article,-,5/1/2018,No,FALSE,No,https://pubmed.ncbi.nlm.nih.gov/29068076,10.1111/aor.13004,PubMed,N/A,0.604954319,Moderately relevant,Moderately relevant,2,TRUE,2,2,1.892789261,1.892789261,,,
33588868,Learning Regularized Representations Of Categorically Labelled Surface Emg Enables Simultaneous And Proportional Myoelectric Control,"Processing the surface electromyogram (sEMG) to decode movement intent is a promising approach for natural control of upper extremity prostheses. To this end, this paper introduces and evaluates a new framework which allows for simultaneous and proportional myoelectric control over multiple degrees of freedom (DoFs) in real-time. The framework uses multitask neural networks and domain-informed regularization in order to automatically find nonlinear mappings from the forearm sEMG envelope to multivariate and continuous encodings of concurrent hand- and wrist kinematics, despite only requiring categorical movement instruction stimuli signals for calibration.",2021,"Olsson AE, Maleﾅ｡eviﾄ・EEEE N, Bjﾃｶrkman A, Antfolk C",5,"Adult, Arm, Artificial Limbs, Biomechanical Phenomena, Discriminant Analysis, Electromyography, Humans, Male, Movement, Muscle, Skeletal, Neural Networks, Computer, Pattern Recognition, Automated, User-Computer Interface, Young Adult",Journal Article,Journal of neuroengineering and rehabilitation,18,35,-,Journal Article,-,2/15/2021,Yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC7885418/pdf,Yes,https://pubmed.ncbi.nlm.nih.gov/33588868,10.1186/s12984-021-00832-4,PubMed,"Electromyography, Prosthetic control, Online performance, Regression, Deep learning, Representation learning, Regularization, Multitask learning",0.540304238,Somewhat relevant,Moderately relevant,3,FALSE,1,2,0.5,1.5,,,
62ba68854a35705eb607a781be313aa734a2ff80,Deep Learning-Based Efficient Human Joint Movement Prediction Using Surface Electromyography Data,"Upper limb dysfunction has become a significant challenge in healthcare, affecting individuals suffering from neurological conditions such as strokes and spinal cord injuries. To address this issue, wearable exoskeletons have emerged as promising solutions. Effective human-robot interaction (HRI) is crucial for seamlessly integrating these technologies into rehabilitation and assistive care settings. Electromyography (EMG) signals offer valuable insights into human muscular control and have been utilized to control robotic systems, enhancing user acceptance and interaction. This paper proposes a novel technique for continuously predicting joint movements from raw single-channel EMG signals using a Deep Neural Network (DNN) architecture. First, single-channel EMG signals from the biceps are acquired simultaneously with the elbow angular position, and the acquired data are then converted into a dataset for supervised learning. Second, a neural architecture based on Gated Recurrent Units (GRU) is proposed and implemented for the training phase. Finally, the proposed model is tested on real data, and the results are thoroughly evaluated using three evaluation metrics. We achieved RMSE=3.84~12.72ﾂｰ, MAE=2.92~10.24ﾂｰ, and R-squared=0.96~0.99. Comparison of our results with existing literature demonstrates the superiority and robustness of the proposed method, especially in handling different muscular efforts",2024,"Ali Zakaria Messaoui, Laurent Peyrodie, M. Alouane, Franﾃｧois Gionco, Mohamed Guiatni",3,Computer Science,"JournalArticle, Conference","2024 International Conference on Control, Automation and Diagnosis (ICCAD)",N/A,6-Jan,International Conference on Computer Aided Design,conference,International Conference on Computer Aided Design,5/15/2024,No,N/A,No,https://www.semanticscholar.org/paper/62ba68854a35705eb607a781be313aa734a2ff80,10.1109/ICCAD60883.2024.10553805,Semantic Scholar,N/A,0.530781706,Somewhat relevant,Moderately relevant,4,FALSE,1,2,0.430676558,1.292029674,,,
3d28fdeb38ae3de9ec66305aab3f977534b16b92,Estimating Muscle Activation From Emg Using Deep Learning-Based Dynamical Systems Models,"Objective. To study the neural control of movement, it is often necessary to estimate how muscles are activated across a variety of behavioral conditions. One approach is to try extracting the underlying neural command signal to muscles by applying latent variable modeling methods to electromyographic (EMG) recordings. However, estimating the latent command signal that underlies muscle activation is challenging due to its complex relation with recorded EMG signals. Common approaches estimate each muscle・EEE・EEEs activation independently or require manual tuning of model h",2021,"Lahiru N. Wimalasena, Jonas Braun, Mohammad Reza Keshtkaran, David Hofmann, J. A. Gallego, C. Alessandro, M. Tresch, L. Miller, C. Pandarinath",21,"Medicine, Biology, Physics",JournalArticle,Journal of Neural Engineering,19,N/A,-,journal,bioRxiv,12/3/2021,Yes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9628781,Yes,https://www.semanticscholar.org/paper/3d28fdeb38ae3de9ec66305aab3f977534b16b92,10.1088/1741-2552/ac6369,Semantic Scholar,N/A,0.522789072,Somewhat relevant,Moderately relevant,5,FALSE,1,2,0.386852807,1.160558422,,,
7817a2c662fd0a605707be10216c5cf1ef1c400b,Upper Limb Movement Recognition Utilising Eeg And Emg Signals For Rehabilitative Robotics,"Upper limb movement classification, which maps input signals to the target activities, is a key building block in the control of rehabilitative robotics. Classifiers are trained for the rehabilitative system to comprehend the desires of the patient whose upper limbs do not function properly. Electromyography (EMG) signals and Electroencephalography (EEG) signals are used widely for upper limb movement classification. By analysing the classification results of the real-time EEG and EMG signals, the system can understand the intention of the user and predict the events that one would like to carry out. Accordingly, it will provide external help to the user. However, the noise in the real-time EEG and EMG data collection process contaminates the effectiveness of the data, which undermines classification performance. Moreover, not all patients process strong EMG signals due to muscle damage and neuromuscular disorder. To address these issues, this paper explores different feature extraction techniques and machine learning and deep learning models for EEG and EMG signals classification and proposes a novel decision-level multisensor fusion technique to integrate EEG signals with EMG signals. This system retrieves effective information from both sources to understand and predict the desire of the user, and thus aid. By testing out the proposed technique on a publicly available WAY-EEG-GAL dataset, which contains EEG and EMG signals that were recorded simultaneously, we manage to conclude the feasibility and effectiveness of the novel system.",2022,Zihao Wang,4,"Computer Science, Engineering",JournalArticle,N/A,N/A,676-695,-,other type,FICC,7/18/2022,Yes,https://arxiv.org/pdf/2207.08650,Yes,https://www.semanticscholar.org/paper/7817a2c662fd0a605707be10216c5cf1ef1c400b,10.1007/978-3-031-28076-4_49,Semantic Scholar,": EEG  signals , EMG  signals , Data Fusion, Machine Learning, Deep Learning",0.462398775,Somewhat relevant,Moderately relevant,6,FALSE,1,2,0.356207187,1.068621561,,,
39361489,Simultaneous Estimation Of Digit Tip Forces And Hand Postures In A Simulated Real-Life Condition With High-Density Electromyography And Deep Learning,"In myoelectric control, continuous estimation of multiple degrees of freedom has an important role. Most studies have focused on estimating discrete postures or forces of the human hand but for a practical prosthetic system, both should be considered. In daily life activities, hand postures vary for grasping different objects and the amount of force exerted on each fingertip depends on the shape and weight of the object. This study aims to investigate the feasibility of continuous estimation of multiple degrees of freedom. We proposed a reach and grasp framework to study both absolute fingertip forces and hand movement types using deep learning techniques applied to high-density surface electromyography (HD-sEMG). Four daily life grasp types were examined and absolute fingertip forces were simultaneously estimated while grasping various objects, along with the grasp types. We showed that combining a 3-dimensional Convolutional Neural Network (3DCNN) with a Long Short-term Memory (LSTM) can reliably and continuously estimate the digit tip forces and classify different hand postures in human individuals. The mean absolute error (MAE) and Pearson correlation coefficient (PCC) results of the force estimation problem across all fingers and subjects were 0.46 ﾂｱ 0.23 and 0.90 ﾂｱ 0.03% respectively and for the classification problem, they were 0.04 ﾂｱ 0.01 and 0.97 ﾂｱ 0.02%. The results demonstrated that both absolute digit tip forces and hand postures can be successfully estimated through deep learning and HD-sEMG.",2024,"Rahimi F, Badamchizadeh MA, Ghaemi S, Vecchio AD",N/A,"Humans, Deep Learning, Electromyography, Fingers, Posture, Hand, Male, Adult, Hand Strength, Female, Young Adult, Signal Processing, Computer-Assisted, Biomechanical Phenomena",Journal Article,IEEE journal of biomedical and health informatics,28,5708-5717,-,Journal Article,-,10/1/2024,No,FALSE,No,https://pubmed.ncbi.nlm.nih.gov/39361489,10.1109/JBHI.2024.3350239,PubMed,N/A,0.458659059,Somewhat relevant,Moderately relevant,7,FALSE,1,2,0.333333333,1,,,
38442056,Graph-Driven Simultaneous And Proportional Estimation Of Wrist Angle And Grasp Force Via High-Density Emg,"Myoelectric prostheses are generally unable to accurately control the position and force simultaneously, prohibiting natural and intuitive human-machine interaction. This issue is attributed to the limitations of myoelectric interfaces in effectively decoding multi-degree-of-freedom (multi-DoF) kinematic and kinetic information. We thus propose a novel multi-task, spatial-temporal model driven by graphical high-density electromyography (HD-EMG) for simultaneous and proportional control of wrist angle and grasp force. Twelve subjects were recruited to perform three multi-DoF movements, including wrist pronation/supination, wrist flexion/extension, and wrist abduction/adduction while varying grasp force. Experimental results demonstrated that the proposed model outperformed five baseline models, with the normalized root mean square error of 13.2% and 9.7% and the correlation coefficient of 89.6% and 91.9% for wrist angle and grasp force estimation, respectively. In addition, the proposed model still maintained comparable accuracy even with a significant reduction in the number of HD-EMG electrodes. To the best of our knowledge, this is the first study to achieve simultaneous and proportional wrist angle and grasp force control via HD-EMG and has the potential to empower prostheses users to perform a broader range of tasks with greater precision and control, ultimately enhancing their independence and quality of life.",2024,"Li D, Kang P, Yu Y, Shull PB",N/A,"Adult, Humans, Young Adult, Biomechanical Phenomena, Computer Graphics, Correlation of Data, Data Visualization, Electrodes, Electromyography, Hand Strength, Man-Machine Systems, Neural Networks, Computer, Prostheses and Implants, Wrist, Deep Learning, Data Analysis, Movement",Journal Article,IEEE journal of biomedical and health informatics,28,2723-2732,-,Journal Article,-,5/1/2024,No,FALSE,No,https://pubmed.ncbi.nlm.nih.gov/38442056,10.1109/JBHI.2024.3373432,PubMed,N/A,0.456632313,Somewhat relevant,Moderately relevant,8,FALSE,1,2,0.315464877,0.94639463,,,
40039660,Enhancing Myoelectric Prosthetic Control: Deep Learning Strategies For Continuous Arm Kinematics Estimation And Cross-Subject Model Transferability From Emg Data,"Over the last decade, myoelectric prosthesis control has witnessed considerable advancements, yet there remain significant challenges. Two key constraints have been the limited range of movements and the lack of simultaneous control capabilities. This study aims to address these issues by introducing an LSTM-based approach for the continuous control of critical parameters in prosthetic limbs. Utilizing deep learning models, our method enhances the precision in controlling the elbow angle (ﾎｸ), as well as the horizontal (X) and vertical (Y) positions of the wrist joint, coupled with the velocity (v). This research not only focuses on the spatial and dynamic aspects of the movement but also emphasizes the transferability of our model across different subjects. We have successfully demonstrated the model's ability to be trained on one subject and applied effectively to another.",2024,"ElMohandes H, ElGayar N, Taylor N, Turcanu A, Amelin D, Ruff R",N/A,"Humans, Electromyography, Deep Learning, Biomechanical Phenomena, Arm, Artificial Limbs, Algorithms",Journal Article,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2024,6-Jan,-,Journal Article,-,7/1/2024,No,FALSE,No,https://pubmed.ncbi.nlm.nih.gov/40039660,10.1109/EMBC53108.2024.10782260,PubMed,N/A,0.447502083,Somewhat relevant,Moderately relevant,9,FALSE,1,2,0.301029996,0.903089987,,,
34891388,Estimation Of Joint Angle From Semg And Inertial Measurements Based On Deep Learning Approach,"Continuous kinematics estimation from surface electromyography (sEMG) allows more natural and intuitive human-machine collaboration. Recent research has suggested the use of multimodal inputs (sEMG signals and inertial measurements) to improve estimation performance. This work focused on assessing the use of angular velocity in combination with myoelectric signals to simultaneously and continuously predict 12 joint angles in the hand. Estimation performance was evaluated for five functional and grasping movements in 20 subjects. The proposed method is based on convolutional and recurrent neural networks using transfer learning (TL). A novel aspect was the use of a pretrained deep network model from basic joint hand movements to learn new patterns present in functional motions. A comparison was carried out with the traditional method based solely on sEMG. Although the performance of the algorithm slightly improved with the use of the multimodal combination, both strategies had similar behavior. The results indicated a significant improvement for a single task: opening a bottle with a tripod grasp.",2021,"Delgado AL, Da Rocha AF, Leon AS, Ruiz-Olaya A, Montero KR, Delis AL",N/A,"Deep Learning, Electromyography, Hand, Humans, Muscle, Skeletal, Neural Networks, Computer",Journal Article,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2021,700-703,-,Journal Article,-,11/1/2021,No,FALSE,No,https://pubmed.ncbi.nlm.nih.gov/34891388,10.1109/EMBC46164.2021.9630609,PubMed,N/A,0.445961389,Somewhat relevant,Moderately relevant,10,FALSE,1,2,0.289064826,0.867194479,,,
